Starting protocol generation for liver_organoids with prompt b8f1010cfd96694f172266a628361ccb... using model llama3.1:8b
Generating protocol 1 for model llama3.1:8b
**Liver Organoid Generation Protocol from H9 hESC**

| Day | Medium | Rocker/Impeller Speed (RPM) | Container Type/Size | Compound(s) | Temp (°C) | pH | Dissolved Oxygen% (DO%) |
| 18  | Hepes-buffered DMEM/F12 | - | 6-well plate, 3.8 cm²/well | BDNF (50 ng/mL), NGF (50 ng/mL) | 37.2 | 7.6 | 10% |
| 19  | Hepes-buffered DMEM/F12 | - | 6-well plate, 3.8 cm²/well | TGF-β1 (1 ng/mL), BMP4 (10 ng/mL) | 37.2 | 7.6 | 10% |
| 20  | Hepes-buffered DMEM/F12 | - | 6-well plate, 3.8 cm²/well | HGF (50 ng/mL), VEGF (20 ng/mL) | 37.2 | 7.6 | 10% |
| 21  | Hepes-buffered DMEM/F12 | - | 6-well plate, 3.8 cm²/well |  | 37.2 | 7.6 | 10%
Generating protocol 226 for model llama3.1:8b
Here is the detailed protocol for generating liver organoids from H9 human embryonic stem cells (hESC):

| Day | Medium | Rocker/Impeller Speed (RPM) | Container Type/Size | Compound(s) | Temp (°C) | pH | Dissolved Oxygen% (DO%) |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 0   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | None | 37°C | 7.4 | 20% |
| 1   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL) | 37°C | 7.4 | 20% |
| 2   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | BMP-4 (200 ng/mL), VEGF (50 ng/mL) | 37°C | 7.3 | 15% |
| 3   | mTeSR1 | 75 RPM | 24-well plate, 2.5 cm²/well | FGF-2 (10 ng/mL), HGF (20 ng/mL) | 37°C | 7.2 | 10% |
| 4   | hESc medium | 0 RPM | 6-well plate, 9.5 cm²/well | Wnt3a (200 ng/mL), R-Spondin1 (100 ng/mL) | 37°C | 7.1 | 20% |
| 5   | hESc medium | 50 RPM | 24-well plate, 2.5 cm²/well | BMP-4 (100 ng/mL), Activin A (200 ng/mL) | 37°C | 7.0 | 15% |
| 6   | hESc medium | 75 RPM | 48-well plate, 1.3 cm²/well | VEGF (50 ng/mL), EGF (10 ng/mL) | 37°C | 7.0 | 10% |
| 7   | LSKS medium | 0 RPM | 6-well plate, 9.5 cm²/well | HGF (20 ng/mL), FGF-2 (10 ng/mL) | 37°C | 7.1 | 20% |
| 8   | LSKS medium | 50 RPM | 24-well plate, 2.5 cm²/well | Wnt3a (100 ng/mL), R-Spondin1 (50 ng/mL) | 37°C | 7.0 | 15% |
| 9   | LSKS medium | 75 RPM | 48-well plate, 1.3 cm²/well | Activin A (200 ng/mL), BMP-4 (100 ng/mL) | 37°C | 7.0 | 10% |
| 10  | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | VEGF (50 ng/mL), EGF (10 ng/mL) | 37°C | 7.1 | 20% |
| 11  | mTeSR1 | 50 RPM | 24-well plate, 2.5 cm²/well | HGF (20 ng/mL), FGF-2 (10 ng/mL) | 37°C | 7.0 | 15% |
| 12  | hESc medium | 0 RPM | 6-well plate, 9.5 cm²/well | Wnt3a (200 ng/mL), R-Spondin1 (100 ng/mL) | 37°C | 7.0 | 20% |
| 13  | hESc medium | 50 RPM | 24-well plate, 2.5 cm²/well | BMP-4 (100 ng/mL), Activin A (200 ng/mL) | 37°C | 7.0 | 15% |
| 14  | LSKS medium | 75 RPM | 48-well plate, 1.3 cm²/well | FGF-2 (10 ng/mL), HGF (20 ng/mL) | 37°C | 7.1 | 10% |
| 15  | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | VEGF (50 ng/mL), EGF (10 ng/mL) | 37°C | 7.0 | 20% |
| 16  | hESc medium | 50 RPM | 24-well plate, 2.5 cm²/well | Wnt3a (100 ng/mL), R-Spondin1 (50 ng/mL) | 37°C | 7.0 | 15% |
| 17  | LSKS medium | 75 RPM | 48-well plate, 1.3 cm²/well | HGF (20 ng/mL), FGF-2 (10 ng/mL) | 37°C | 7.1 | 10% |
| 18  | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | Activin A (200 ng/mL), BMP-4 (100 ng/mL) | 37°C | 7.0 | 20% |
| 19  | hESc medium | 50 RPM | 24-well plate, 2.5 cm²/well | VEGF (50 ng/mL), EGF (10 ng/mL) | 37°C | 7.0 | 15% |
| 20  | LSKS medium | 75 RPM | 48-well plate, 1.3 cm²/well | Wnt3a (200 ng/mL), R-Spondin1 (100 ng/mL) | 37°C | 7.1 | 10% |
| 21  | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | HGF (20 ng/mL), FGF-2 (10 ng/mL) | 37°C | 7.0 | 20% |

Generating protocol 227 for model llama3.1:8b
Here is the protocol:

| Day | Medium | Rocker/Impeller Speed (RPM) | Container Type/Size | Compound(s) | Temp (°C) | pH | Dissolved Oxygen% (DO%) |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 0   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | - | 37°C | 7.4 | 20% |
| 1   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL) | 37°C | 7.4 | 20% |
| 2   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | VEGF (200 ng/mL), bFGF (20 ng/mL) | 37°C | 7.4 | 20% |
| 3   | E8 medium | 0 RPM | 24-well plate, 1.5 cm²/well | - | 37°C | 7.6 | 15% |
| 4   | E8 medium | 50 RPM | 24-well plate, 1.5 cm²/well | TGF-β (1 ng/mL), BMP4 (100 ng/mL) | 37°C | 7.6 | 15% |
| 5   | E8 medium | 0 RPM | 48-well plate, 1.25 cm²/well | - | 37°C | 7.4 | 20% |
| 6   | DMEM/F12 | 50 RPM | 24-well plate, 1.5 cm²/well | Insulin (5 μg/mL), Hydrocortisone (10 μM) | 37°C | 7.3 | 20% |
| 7   | DMEM/F12 | 0 RPM | 48-well plate, 1.25 cm²/well | - | 37°C | 7.4 | 15% |
| 8   | K-SFM | 50 RPM | 24-well plate, 1.5 cm²/well | HGF (100 ng/mL), EGF (20 ng/mL) | 37°C | 7.2 | 25% |
| 9   | K-SFM | 0 RPM | 48-well plate, 1.25 cm²/well | - | 37°C | 7.4 | 15% |
| 10  | M199 | 50 RPM | 24-well plate, 1.5 cm²/well | Hepatocyte growth factor (HGF) (100 ng/mL), Insulin (5 μg/mL) | 37°C | 7.3 | 20% |
| 11  | M199 | 0 RPM | 48-well plate, 1.25 cm²/well | - | 37°C | 7.4 | 15% |
| 12  | Matrigel | 0 RPM | Hanging drop culture, 5 μL/drop | - | 37°C | 7.4 | 20% |
| 13  | Matrigel | 0 RPM | Hanging drop culture, 5 μL/drop | VEGF (200 ng/mL), bFGF (20 ng/mL) | 37°C | 7.4 | 20% |
| 14  | Matrigel | 50 RPM | 48-well plate, 1.25 cm²/well | TGF-β (1 ng/mL), BMP4 (100 ng/mL) | 37°C | 7.6 | 15% |
| 15  | E8 medium | 0 RPM | 24-well plate, 1.5 cm²/well | - | 37°C | 7.4 | 20% |
| 16  | E8 medium | 50 RPM | 48-well plate, 1.25 cm²/well | Insulin (5 μg/mL), Hydrocortisone (10 μM) | 37°C | 7.3 | 15% |
| 17  | DMEM/F12 | 0 RPM | 24-well plate, 1.5 cm²/well | - | 37°C | 7.4 | 20% |
| 18  | K-SFM | 50 RPM | 48-well plate, 1.25 cm²/well | HGF (100 ng/mL), EGF (20 ng/mL) | 37°C | 7.2 | 25% |
| 19  | M199 | 0 RPM | 24-well plate, 1.5 cm²/well | - | 37°C | 7.4 | 15% |
| 20  | Matrigel | 50 RPM | Hanging drop culture, 5 μL/drop | VEGF (200 ng/mL), bFGF (20 ng/mL) | 37°C | 7.4 | 20% |
| 21  | Matrigel | 0 RPM | Hanging drop culture, 5 μL/drop | - | 37°C | 7.4 | 15% |

Note: The input density for H9 hESC is not specified in the instructions, but a common starting density is around 1-2 × 10^5 cells/cm².
Generating protocol 228 for model llama3.1:8b
Here is the detailed protocol schedule:

| Day | Medium | Rocker/Impeller Speed (RPM) | Container Type/Size | Compound(s) | Temp | pH | Dissolved Oxygen% (DO%) |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 0   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | - | 37°C | 7.4 | 20% |
| 1   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL), bFGF (50 ng/mL) | 37°C | 7.4 | 20% |
| 2   | mTeSR1 | 80 RPM | T75 flask, 25 cm³ | - | 37°C | 7.3 | 18% |
| 3   | mTeSR1 + LIF (10 ng/mL) | 80 RPM | T75 flask, 25 cm³ | - | 37°C | 7.2 | 16% |
| 4   | mTeSR1 + LIF (20 ng/mL), Y-27632 (10 μM) | 80 RPM | T75 flask, 25 cm³ | - | 37°C | 7.1 | 14% |
| 5   | E8 medium | 60 RPM | 24-well plate, 2 cm²/well | FGF4 (50 ng/mL), VEGFA (20 ng/mL) | 37°C | 7.0 | 12% |
| 6   | E8 medium + GSK3 inhibitor IV (10 μM) | 60 RPM | 24-well plate, 2 cm²/well | - | 37°C | 7.0 | 10% |
| 7   | E8 medium + BMP4 (50 ng/mL), CHIR99021 (5 μM) | 60 RPM | 24-well plate, 2 cm²/well | - | 37°C | 6.9 | 8% |
| 8   | E8 medium + Wnt3a (100 ng/mL), LDN-193189 (10 nM) | 60 RPM | T25 flask, 15 cm³ | - | 37°C | 6.8 | 6% |
| 9   | E8 medium + Bmp4 (100 ng/mL), FGF1 (50 ng/mL) | 40 RPM | T25 flask, 15 cm³ | - | 37°C | 6.7 | 4% |
| 10  | DMEM/F12 + HEPES (pH 7.5) | 20 RPM | 6-well plate, 9.5 cm²/well | Glucose (2 mg/mL), Insulin (1 μg/mL), Transferrin (100 μg/mL) | 37°C | 7.4 | 10% |
| 11  | DMEM/F12 + HEPES (pH 7.5) | 20 RPM | 6-well plate, 9.5 cm²/well | - | 37°C | 7.3 | 8% |
| 12  | DMEM/F12 + HEPES (pH 7.5), FCS (2%) | 20 RPM | T25 flask, 15 cm³ | Glucose (1 mg/mL) | 37°C | 7.2 | 6% |
| 13  | HepatoZYME A/B | 0 RPM | 24-well plate, 2 cm²/well | - | 37°C | 7.4 | 20% |
| 14  | HepatoZYME A/B + HGF (50 ng/mL) | 80 RPM | T75 flask, 25 cm³ | - | 37°C | 7.3 | 18% |
| 15  | HepatoZYME A/B + EGF (10 μg/mL), ONC (100 nM) | 80 RPM | T75 flask, 25 cm³ | - | 37°C | 7.2 | 16% |
| 16  | HepatoZYME A/B + LIF (20 ng/mL), BMP4 (50 ng/mL) | 60 RPM | 24-well plate, 2 cm²/well | - | 37°C | 7.1 | 14% |
| 17  | HepatoZYME A/B + FGF7 (10 μg/mL), Dexamethasone (100 nM) | 40 RPM | T25 flask, 15 cm³ | - | 37°C | 6.9 | 12% |
| 18  | DMEM/F12 + HEPES (pH 7.5), FCS (2%) | 20 RPM | 6-well plate, 9.5 cm²/well | Glucose (1 mg/mL) | 37°C | 7.4 | 10% |
| 19  | DMEM/F12 + HEPES (pH 7.5), FCS (2%) | 20 RPM | T25 flask, 15 cm³ | - | 37°C | 7.3 | 8% |
| 20  | HepatoZYME A/B | 0 RPM | 24-well plate, 2 cm²/well | HGF (50 ng/mL) | 37°C | 7.4 | 20% |
| 21  | HepatoZYME A/B + EGF (10 μg/mL), ONC (100 nM) | 80 RPM | T75 flask, 25 cm³ | - | 37°C | 7.3 | 18% |

Note: H9 human embryonic stem cells are seeded at a density of 1 x 10^5 cells/cm² on day 0 and cultured in the respective media conditions as specified above. The culture medium is changed every 2-3 days to maintain optimal cell growth and differentiation.
Generating protocol 229 for model llama3.1:8b
| Day | Medium | Rocker/Impeller Speed (RPM) | Container Type/Size | Compounds | Temp (°C) | pH | Dissolved Oxygen% (DO%) |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 0   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | - | 37°C | 7.4 | 20% |
| 1   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL) | 37°C | 7.4 | 20% |
| 2   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | VEGF (50 ng/mL), BMP4 (25 ng/mL) | 37°C | 7.4 | 20% |
| 3   | E8 medium | 100 RPM | 24-well plate, 2 cm²/well | - | 37°C | 7.5 | 15% |
| 4   | E8 medium | 100 RPM | 24-well plate, 2 cm²/well | FGF1 (20 ng/mL), TGF-β (1 ng/mL) | 37°C | 7.5 | 15% |
| 5   | E8 medium | 100 RPM | 24-well plate, 2 cm²/well | Wnt3a (50 ng/mL) | 37°C | 7.5 | 15% |
| 6   | E8 medium | 150 RPM | 24-well plate, 2 cm²/well | - | 37°C | 7.4 | 18% |
| 7   | HepGel | 0 RPM | Transwell insert, 0.4 μm | - | 37°C | 7.3 | 12% |
| 8   | HepGel | 0 RPM | Transwell insert, 0.4 μm | HGF (50 ng/mL) | 37°C | 7.3 | 12% |
| 9   | HepGel | 0 RPM | Transwell insert, 0.4 μm | EGF (20 ng/mL), PDGF-BB (10 ng/mL) | 37°C | 7.3 | 12% |
| 10  | HepGel | 100 RPM | Transwell insert, 0.4 μm | - | 37°C | 7.2 | 15% |
| 11  | HLM (serum-free) | 150 RPM | 6-well plate, 9.5 cm²/well | - | 37°C | 7.4 | 18% |
| 12  | HLM (serum-free) | 150 RPM | 6-well plate, 9.5 cm²/well | TGF-β (1 ng/mL), VEGF (50 ng/mL) | 37°C | 7.4 | 18% |
| 13  | HLM (serum-free) | 200 RPM | 24-well plate, 2 cm²/well | - | 37°C | 7.3 | 20% |
| 14  | HLM (serum-free) | 200 RPM | 24-well plate, 2 cm²/well | EGF (20 ng/mL), PDGF-BB (10 ng/mL) | 37°C | 7.3 | 20% |
| 15  | HLM (serum-free) | 250 RPM | Transwell insert, 0.4 μm | - | 37°C | 7.2 | 22% |
| 16  | HLM (serum-free) | 250 RPM | Transwell insert, 0.4 μm | HGF (50 ng/mL), TGF-β (1 ng/mL) | 37°C | 7.2 | 22% |
| 17  | Customized HLM (10% FBS) | 150 RPM | 24-well plate, 2 cm²/well | - | 37°C | 7.4 | 18% |
| 18  | Customized HLM (10% FBS) | 150 RPM | 24-well plate, 2 cm²/well | VEGF (50 ng/mL), PDGF-BB (10 ng/mL) | 37°C | 7.4 | 18% |
| 19  | Customized HLM (10% FBS) | 200 RPM | Transwell insert, 0.4 μm | - | 37°C | 7.3 | 20% |
| 20  | Customized HLM (10% FBS) | 200 RPM | Transwell insert, 0.4 μm | EGF (20 ng/mL), TGF-β (1 ng/mL) | 37°C | 7.3 | 20% |
| 21  | Customized HLM (10% FBS) | 250 RPM | Transwell insert, 0.4 μm | - | 37°C | 7.2 | 22% |

Note: 

* The starting density for the H9 hESC is approximately 5,000 cells/cm².
* The medium composition and compounds added each day are designed to promote liver cell differentiation and maturation.
* The environmental conditions (temperature, pH, and dissolved oxygen) are set to mimic in vivo conditions to support optimal organoid growth.
Generating protocol 230 for model llama3.1:8b
Here is the protocol schedule:

| Day | Medium | Rocker/Impeller Speed (RPM) | Container Type/Size | Compounds | Temp (°C) | pH | Dissolved Oxygen% (DO%) |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 0   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well |  | 37 | 7.4 | 20% |
| 1   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL), bFGF (10 ng/mL) | 37 | 7.4 | 20% |
| 2   | E8 media | 75 RPM | 24-well plate, 2 mL/well | B27 supplement (1x) | 37.5 | 7.6 | 18% |
| 3   | E8 media | 75 RPM | 24-well plate, 2 mL/well | Wnt3a (500 ng/mL), Activin A (50 ng/mL) | 37.5 | 7.6 | 18% |
| 4   | E8 media | 100 RPM | 24-well plate, 2 mL/well | FGF1 (10 ng/mL), FGF7 (20 ng/mL) | 37.5 | 7.6 | 22% |
| 5   | DMEM/F12 | 50 RPM | 96-well plate, 0.5 mL/well | Glucose (4.5 g/L), L-glutamine (2 mM) | 36.5 | 7.3 | 15% |
| 6   | DMEM/F12 | 50 RPM | 96-well plate, 0.5 mL/well | Heparin (10 μg/mL), EGF (20 ng/mL) | 36.5 | 7.3 | 15% |
| 7   | DMEM/F12 | 75 RPM | 24-well plate, 2 mL/well | TGF-β1 (1 ng/mL), BMP4 (50 ng/mL) | 36.5 | 7.3 | 18% |
| 8   | DMEM/F12 | 100 RPM | 24-well plate, 2 mL/well | CNTF (10 ng/mL), FGF5 (20 ng/mL) | 36.5 | 7.3 | 22% |
| 9   | K-SFM media | 50 RPM | 96-well plate, 0.5 mL/well | BSA (1%), EGF (20 ng/mL) | 37 | 7.4 | 15% |
| 10  | K-SFM media | 50 RPM | 96-well plate, 0.5 mL/well | Heparin (10 μg/mL), CNTF (10 ng/mL) | 37 | 7.4 | 15% |
| 11  | K-SFM media | 75 RPM | 24-well plate, 2 mL/well | FGF1 (10 ng/mL), FGF7 (20 ng/mL) | 37 | 7.4 | 18% |
| 12  | K-SFM media | 100 RPM | 24-well plate, 2 mL/well | TGF-β1 (1 ng/mL), BMP4 (50 ng/mL) | 37 | 7.4 | 22% |
| 13  | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL), bFGF (10 ng/mL) | 37 | 7.4 | 20% |
| 14  | E8 media | 50 RPM | 96-well plate, 0.5 mL/well | B27 supplement (1x), Wnt3a (500 ng/mL) | 37.5 | 7.6 | 15% |
| 15  | DMEM/F12 | 75 RPM | 24-well plate, 2 mL/well | Glucose (4.5 g/L), L-glutamine (2 mM) | 36.5 | 7.3 | 18% |
| 16  | K-SFM media | 100 RPM | 96-well plate, 0.5 mL/well | Heparin (10 μg/mL), CNTF (10 ng/mL) | 37 | 7.4 | 22% |
| 17  | DMEM/F12 | 50 RPM | 96-well plate, 0.5 mL/well | EGF (20 ng/mL), FGF1 (10 ng/mL) | 36.5 | 7.3 | 15% |
| 18  | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL), bFGF (10 ng/mL) | 37 | 7.4 | 20% |
| 19  | K-SFM media | 75 RPM | 24-well plate, 2 mL/well | TGF-β1 (1 ng/mL), BMP4 (50 ng/mL) | 37 | 7.4 | 18% |
| 20  | DMEM/F12 | 100 RPM | 96-well plate, 0.5 mL/well | CNTF (10 ng/mL), FGF5 (20 ng/mL) | 36.5 | 7.3 | 22% |
| 21  | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL), bFGF (10 ng/mL) | 37 | 7.4 | 20% |

Note: Concentrations for supplements and growth factors are in ng/mL unless otherwise specified.
Generating protocol 231 for model llama3.1:8b
| Day | Medium | Rocker/Impeller Speed (RPM) | Container Type/Size | Compound(s) | Temp | pH | Dissolved Oxygen% (DO%) |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 0   | mTeSR1 | 100 RPM | 6-well plate, 9.5 cm²/well | B27 Supplement (50x, 2 μL/mL) | 37°C | 7.4 | 20% |
| 1   | mTeSR1 | 100 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL), FGF2 (10 ng/mL) | 37°C | 7.4 | 20% |
| 2   | mTeSR1+LIF | 0 RPM | 24-well plate, 2 cm²/well | Wnt3a (50 ng/mL) | 37°C | 7.5 | 15% |
| 3   | mTeSR1+LIF | 50 RPM | 6-well plate, 9.5 cm²/well | Bmp4 (20 μg/mL), IWR-1e (10 μM) | 37°C | 7.5 | 15% |
| 4   | mTeSR1+LIF | 50 RPM | 6-well plate, 9.5 cm²/well | HGF (100 ng/mL), TGFβ1 (2 ng/mL) | 37°C | 7.3 | 10% |
| 5   | hESc-qualified MTeSR+LIF | 50 RPM | 6-well plate, 9.5 cm²/well | SHH (100 ng/mL), FGF1 (20 ng/mL) | 37°C | 7.3 | 10% |
| 6   | hESc-qualified MTeSR+LIF | 0 RPM | 24-well plate, 2 cm²/well | Bmp4 (20 μg/mL), VEGFA (100 ng/mL) | 37°C | 7.5 | 15% |
| 7   | hESc-qualified MTeSR+LIF | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (20 μg/mL), GDF11 (100 ng/mL) | 37°C | 7.3 | 10% |
| 8   | hESc-qualified MTeSR+LIF | 50 RPM | 6-well plate, 9.5 cm²/well | FGF1 (20 ng/mL), PDGFA (100 μg/mL) | 37°C | 7.3 | 10% |
| 9   | hESc-qualified MTeSR+LIF | 0 RPM | 24-well plate, 2 cm²/well | HGF (100 ng/mL), IWR-1e (5 μM) | 37°C | 7.3 | 10% |
| 10  | hESc-qualified MTeSR+LIF | 50 RPM | 6-well plate, 9.5 cm²/well | SHH (20 ng/mL), FGF2 (100 μg/mL) | 37°C | 7.3 | 10% |
| 11  | hESc-qualified MTeSR+LIF | 50 RPM | 6-well plate, 9.5 cm²/well | VEGFA (20 ng/mL), TGFβ1 (10 μg/mL) | 37°C | 7.3 | 15% |
| 12  | hESc-qualified MTeSR+LIF | 0 RPM | 24-well plate, 2 cm²/well | Bmp4 (20 μg/mL), GDF11 (100 ng/mL) | 37°C | 7.3 | 10% |
| 13  | hESc-qualified MTeSR+LIF | 50 RPM | 6-well plate, 9.5 cm²/well | HGF (20 μg/mL), FGF1 (100 ng/mL) | 37°C | 7.3 | 10% |
| 14  | hESc-qualified MTeSR+LIF | 50 RPM | 6-well plate, 9.5 cm²/well | PDGFA (20 μg/mL), SHH (100 ng/mL) | 37°C | 7.3 | 10% |
| 15  | hESc-qualified MTeSR+LIF | 0 RPM | 24-well plate, 2 cm²/well | IWR-1e (5 μM), VEGFA (100 ng/mL) | 37°C | 7.3 | 10% |
| 16  | hESc-qualified MTeSR+LIF | 50 RPM | 6-well plate, 9.5 cm²/well | Bmp4 (20 μg/mL), TGFβ1 (20 ng/mL) | 37°C | 7.3 | 10% |
| 17  | hESc-qualified MTeSR+LIF | 50 RPM | 6-well plate, 9.5 cm²/well | HGF (100 μg/mL), FGF2 (20 ng/mL) | 37°C | 7.3 | 10% |
| 18  | hESc-qualified MTeSR+LIF | 0 RPM | 24-well plate, 2 cm²/well | GDF11 (100 ng/mL), SHH (50 μg/mL) | 37°C | 7.5 | 15% |
| 19  | hESc-qualified MTeSR+LIF | 50 RPM | 6-well plate, 9.5 cm²/well | PDGFA (20 ng/mL), VEGFA (100 μg/mL) | 37°C | 7.3 | 10% |
| 20  | hESc-qualified MTeSR+LIF | 50 RPM | 6-well plate, 9.5 cm²/well | HGF (100 ng/mL), IWR-1e (2 μM) | 37°C | 7.3 | 10% |
| 21  | hESc-qualified MTeSR+LIF | 0 RPM | 24-well plate, 2 cm²/well | SHH (20 ng/mL), FGF1 (100 μg/mL) | 37°C | 7.5 | 15% |

Generating protocol 232 for model llama3.1:8b
| Day | Medium | Rocker/Impeller Speed (RPM) | Container Type/Size | Compound(s) | Temp | pH | Dissolved Oxygen% (DO%) |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 0   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | - | 37°C | 7.4 | 20% |
| 1   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL) | 37°C | 7.4 | 20% |
| 2   | mTeSR1 | 50 RPM | 12-well plate, 3.85 cm²/well | Activin A (100 ng/mL), Wnt3a (25 ng/mL) | 37°C | 7.4 | 20% |
| 3   | E8 media | 0 RPM | 24-well plate, 2 cm²/well | - | 37°C | 7.5 | 18% |
| 4   | E8 media | 50 RPM | 24-well plate, 2 cm²/well | TGF-β1 (10 ng/mL), BMP4 (25 ng/mL) | 37°C | 7.5 | 18% |
| 5   | E8 media | 0 RPM | 12-well plate, 3.85 cm²/well | TGF-β1 (10 ng/mL), BMP4 (25 ng/mL) | 37°C | 7.5 | 18% |
| 6   | DMEM/F12 | 50 RPM | 48-well plate, 0.65 cm²/well | - | 37°C | 7.3 | 20% |
| 7   | DMEM/F12 | 0 RPM | 48-well plate, 0.65 cm²/well | FGF4 (25 ng/mL), VEGFA (50 ng/mL) | 37°C | 7.3 | 20% |
| 8   | DMEM/F12 | 50 RPM | 6-well plate, 9.5 cm²/well | FGF4 (25 ng/mL), VEGFA (50 ng/mL) | 37°C | 7.3 | 20% |
| 9   | DMEM/F12 | 0 RPM | 24-well plate, 2 cm²/well | HGF (10 ng/mL), EGF (5 ng/mL) | 37°C | 7.4 | 18% |
| 10  | DMEM/F12 | 50 RPM | 24-well plate, 2 cm²/well | HGF (10 ng/mL), EGF (5 ng/mL) | 37°C | 7.4 | 18% |
| 11  | M199 media | 0 RPM | 48-well plate, 0.65 cm²/well | - | 37°C | 7.2 | 15% |
| 12  | M199 media | 50 RPM | 48-well plate, 0.65 cm²/well | Insulin (1 μM), dexamethasone (10 nM) | 37°C | 7.2 | 15% |
| 13  | M199 media | 0 RPM | 6-well plate, 9.5 cm²/well | TGF-β1 (10 ng/mL), BMP4 (25 ng/mL) | 37°C | 7.3 | 18% |
| 14  | M199 media | 50 RPM | 12-well plate, 3.85 cm²/well | HGF (10 ng/mL), EGF (5 ng/mL) | 37°C | 7.4 | 20% |
| 15  | M199 media | 0 RPM | 24-well plate, 2 cm²/well | FGF4 (25 ng/mL), VEGFA (50 ng/mL) | 37°C | 7.3 | 18% |
| 16  | M199 media | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL), Wnt3a (25 ng/mL) | 37°C | 7.4 | 20% |
| 17  | E8 media | 0 RPM | 12-well plate, 3.85 cm²/well | TGF-β1 (10 ng/mL), BMP4 (25 ng/mL) | 37°C | 7.5 | 18% |
| 18  | E8 media | 50 RPM | 24-well plate, 2 cm²/well | HGF (10 ng/mL), EGF (5 ng/mL) | 37°C | 7.4 | 20% |
| 19  | DMEM/F12 | 0 RPM | 48-well plate, 0.65 cm²/well | FGF4 (25 ng/mL), VEGFA (50 ng/mL) | 37°C | 7.3 | 18% |
| 20  | DMEM/F12 | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL), Wnt3a (25 ng/mL) | 37°C | 7.4 | 20% |
| 21  | M199 media | 0 RPM | 6-well plate, 9.5 cm²/well | - | 37°C | 7.2 | 15%
Generating protocol 233 for model llama3.1:8b
| Day | Medium | Rocker/Impeller Speed (RPM) | Container Type/Size | Compound(s) | Temp | pH | Dissolved Oxygen% (DO%) |
| --- | --- | --- | --- | --- | --- | --- | --- |
| 0   | mTeSR1 | 0 RPM | 6-well plate, 9.5 cm²/well | | 37°C | 7.4 | 20% |
| 1   | mTeSR1 | 50 RPM | 6-well plate, 9.5 cm²/well | Activin A (100 ng/mL), bFGF (20 ng/mL) | 37°C | 7.4 | 20% |
| 2   | TeSR2 | 0 RPM | 24-well plate, 1.9 cm²/well | VEGF (10 ng/mL), PDGF-BB (10 ng/mL) | 37°C | 7.3 | 18% |
| 3   | TeSR2 | 50 RPM | 24-well plate, 1.9 cm²/well | Heparin (5 μg/mL), DKK-1 (100 ng/mL) | 37°C | 7.3 | 18% |
| 4   | E8 | 0 RPM | 48-well plate, 0.5 cm²/well | BMP-2 (50 ng/mL), FGF-10 (20 ng/mL) | 37°C | 7.2 | 15% |
| 5   | E8 | 50 RPM | 48-well plate, 0.5 cm²/well | Activin A (100 ng/mL), TGF-β1 (1 ng/mL) | 37°C | 7.2 | 15% |
| 6   | DMEM/F12 | 0 RPM | 96-well plate, 0.3 cm²/well | Glucose (10 mM), HEPES (25 mM) | 37°C | 7.1 | 5% |
